,Unnamed: 0,数据名称,数据类型,数据标签,数据大小,数据格式,时间范围,数据规格,价格,评价,浏览量,店铺
524,579,电商平台热销商品查询搜索,,,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,5.0分,21120,同力亿诚
525,580,最新版今日油价查询接口,,油价查询 ,1292277.0,,,2万次≈0.010元/次 10万次≈0.010元/次 ,50.0,5.0分,29167,车圈互联
526,581,航班准点率查询,,航空航班 ,3064672.0,,,4万次≈0.011元/次 40万次≈0.010元/次 ,200.0,5.0分,32649,上海灵长软件科技有限公司
527,582,IP地址归属地查询,,IP地址 ,3064672.0,,,50万次≈0.001元/次 100万次≈0.001元/次 ,200.0,5.0分,27513,趣讯科技
528,583,IP地址查询,,IP地址 ,3064672.0,,,月 ,300.0,5.0分,24056,涪擎数据
529,584,车辆尾号限行,,尾号限行 ,1292277.0,,,7000次≈0.057元/次 13000次≈0.046元/次 ,50.0,5.0分,28989,车圈互联
530,585,VIN码查发动机号,,车辆信息 ,3064672.0,,,500次≈1.40元/次 5000次≈1.20元/次 1万次≈1.00元/次 ,200.0,5.0分,23901,贵州诚数科技有限公司
531,586,新闻舆情数据实时搜索1次100条,,新闻资讯 舆情监测 ,1826487.0,,,500次≈0.95元/次 1000次≈0.90元/次 5000次≈0.85元/次 ,199.0,5.0分,30483,北京麦克斯泰科技有限公司
532,587,企业工商三要素核验,,,1292277.0,,,5000次≈0.080元/次 2万次≈0.075元/次 5万次≈0.070元/次 ,100.0,5.0分,10131,深圳云码通科技有限公司
533,588,身份证四要素,,,1292277.0,,,600次≈1.00元/次 1666次≈0.90元/次 3000次≈0.70元/次 ,80.0,5.0分,10190,深圳云码通科技有限公司
534,589,银行卡六要素实名认证,,,1292277.0,,,1000次≈0.70元/次 5000次≈0.64元/次 1万次≈0.60元/次 ,75.0,5.0分,10164,深圳云码通科技有限公司
535,590,特殊企业基本信息查询,,,1292277.0,,,5000次≈0.19元/次 1万次≈0.18元/次 5万次≈0.16元/次 ,105.0,5.0分,10105,深圳云码通科技有限公司
536,591,手机号二要素实名认证,,,3064672.0,,,5000次≈0.30元/次 1万次≈0.29元/次 5万次≈0.28元/次 ,210.0,5.0分,29663,联卓数据
537,592,OCR营业执照识别,,智能风控 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,5.0分,28598,同力亿诚
538,593,银行卡二要素验证,,银行卡核验 ,1292277.0,,,1000次≈0.38元/次 4000次≈0.36元/次 5万次≈0.32元/次 ,80.0,5.0分,26547,贵州诚数科技有限公司
539,594,短信验证码,,短信API ,3064672.0,,,1万次≈0.040元/次 20万次≈0.035元/次 ,225.0,5.0分,21560,趣讯科技
540,595,IP地址经纬度覆盖面包年,,IP地址 ,57409581.0,,,年 ,4500000.0,5.0分,25100,RTBAsia
541,596,物流快递单号识别,,快递查询 ,1826487.0,,,22万次≈0.002元/次 50万次≈0.002元/次 ,199.0,5.0分,27048,涪擎数据
542,597,银行卡识别,,银行卡信息 ,3064672.0,,,10万次≈0.018元/次 100万次≈0.016元/次 ,200.0,5.0分,24603,涪擎数据
543,598,淘宝淘口令解析查询,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,5.0分,26177,同力亿诚
544,599,OCR银行卡识别,,智能风控 智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,5.0分,28795,同力亿诚
545,600,在线翻译,,智能客服 ,3064672.0,,,10万次≈0.005元/次 ,240.0,5.0分,26498,极速数据
546,601,企业工商详情查询,,企业工商 ,3064672.0,,,1万次≈0.15元/次 10万次≈0.050元/次 30万次≈0.033元/次 ,200.0,5.0分,30374,深圳企查宝数据科技有限公司
547,602,火车查询接口,,公路铁路 ,3398297.0,,,10万次≈0.010元/次 ,750.0,5.0分,25584,极速数据
548,603,通过经纬度查询地址,,位置地图 ,1826487.0,,,年 ,199.0,5.0分,32485,北京秀友科技有限公司
549,604,金融理财短信,,短信API ,18360889.0,,,10万次≈0.045元/次 50万次≈0.040元/次 100万次≈0.038元/次 ,1000.0,5.0分,22210,北京巴卜技术有限公司
550,605,人脸识别人脸实人认证身份证身份鉴别,,银行卡核验 身份核验 ,1529314.0,,,1万次≈0.14元/次 5万次≈0.14元/次 10万次≈0.10元/次 ,160.0,5.0分,24865,apicloud
551,606,OCR行驶证识别,,行驶驾驶 智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,5.0分,31215,同力亿诚
552,607,职业资格证书查询,,反欺诈 风控 ,1292277.0,,,100次≈1.60元/次 400次≈1.20元/次 ,55.0,5.0分,28174,昆明秀派科技有限公司
553,608,企业工商信息查询v2,,企业工商 企业综合 ,1826487.0,,,2500次≈0.16元/次 5500次≈0.15元/次 1万次≈0.13元/次 ,199.0,5.0分,31544,厦门市银行家园网络科技有限公司
554,609,墨迹天气信息服务专业版cityid,,天气查询 ,3064672.0,,,50万次≈8.58元/万次 5000万次≈8.00元/万次 ,222.0,5.0分,28078,北京墨迹风云科技股份有限公司
555,610,淘宝淘口令生成创建,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,5.0分,24532,同力亿诚
556,611,手机号属地查询,,手机号码归属 ,1826487.0,,,2万次≈0.013元/次 20万次≈0.007元/次 ,199.0,5.0分,27734,贵州诚数科技有限公司
557,612,航班动态数据,,航空航班 ,1292277.0,,,500次≈0.15元/次 1000次≈0.15元/次 ,60.0,5.0分,22826,飞友科技有限公司
558,613,查询银行卡类型及归属信息,,银行卡信息 ,1826487.0,,,9万次≈0.008元/次 60万次≈0.005元/次 200万次≈0.003元/次 ,199.0,5.0分,29689,北京库斯曼科技有限公司
559,614,车牌号校验,,车辆信息 ,3398297.0,,,5万次≈0.017元/次 10万次≈0.015元/次 100万次≈0.015元/次 ,370.0,5.0分,30428,极速数据
560,615,失信被执行信息接口,,反欺诈 风控 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,5.0分,27971,京东数科企业信用官方旗舰店
561,616,林克舆情API数据接口,,新闻资讯 舆情监测 ,1826487.0,,,600次≈1.67元/次 1万次≈1.00元/次 ,199.0,5.0分,27404,北京林克艾普数据技术有限公司
562,617,个人涉诉信息综合查询,,黑名单 风控 ,3064672.0,,,2000次≈0.65元/次 1万次≈0.60元/次 ,280.0,5.0分,26296,天眼数聚
563,619,淘宝标准商品类目属性查询,,电子商务 商品信息 ,1826487.0,,,25000次≈0.012元/次 55000次≈0.009元/次 10万次≈0.007元/次 ,199.0,5.0分,30453,同力亿诚
564,620,银行卡三要素实名认证,,身份核验 ,1292277.0,,,1000次≈0.35元/次 5000次≈0.32元/次 3万次≈0.30元/次 ,80.0,5.0分,21529,贵州诚数科技有限公司
565,621,简体繁体火星文转换,,app应用 ,3064672.0,,,100万次≈4.00元/万次 200万次≈4.00元/万次 ,200.0,5.0分,27611,极速数据
566,622,VIN码车型识别,,车辆信息 ,3064672.0,,,1000次≈0.80元/次 5000次≈0.60元/次 2万次≈0.30元/次 ,200.0,5.0分,27357,上海众调信息科技有限公司
567,623,身份证识别,,智能风控 ,3064672.0,,,5万次≈0.024元/次 10万次≈0.021元/次 ,345.0,5.0分,26271,极速数据
568,624,地图服务驾车路径规划,,位置地图 ,1826487.0,,,年 ,199.0,5.0分,28899,北京秀友科技有限公司
569,625,地图POI所属行政区划查询,,位置地图 ,1826487.0,,,年 ,199.0,5.0分,22401,北京秀友科技有限公司
570,626,全国餐厅位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,5.0分,29692,北京秀友科技有限公司
571,627,到达圈服务,,位置地图 ,1826487.0,,,年 ,199.0,5.0分,27400,北京秀友科技有限公司
572,628,全国便利店位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,5.0分,29480,北京秀友科技有限公司
573,629,快递查询API,,快递查询 ,3064672.0,,,10万次≈0.010元/次 ,299.0,5.0分,29656,快递网
574,630,全国加油站位置数据,,位置地图 ,1292277.0,,,1300次≈0.15元/次 14000次≈0.14元/次 71000次≈0.14元/次 ,100.0,4.0分,23959,车圈互联
575,631,京东商品详情信息查询V2,,,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,22732,同力亿诚
576,632,通过关键词查询搜索京东商品V1,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,25212,同力亿诚
577,633,106通知短信,,短信API ,1644987.0,,,2万次≈0.034元/次 10万次≈0.033元/次 50万次≈0.030元/次 ,189.0,4.0分,28565,飞鸟短信平台
578,634,OCR网络图片文字识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,30858,涪擎数据
579,635,白银价格,,产业经济 ,3064672.0,,,60万次≈7.50元/万次 100万次≈7.50元/万次 ,225.0,4.0分,28077,极速数据
580,636,微博舆情数据实时搜索1次100条,,新闻资讯 舆情监测 ,1826487.0,,,2600次≈0.15元/次 6000次≈0.13元/次 1万次≈0.100元/次 ,199.0,4.0分,22679,北京麦克斯泰科技有限公司
581,637,全国交通罚单查询企业版,,交通违章 ,1826487.0,,,1万次≈0.40元/次 50万次≈0.10元/次 ,199.0,4.0分,29212,广州市万联网络科技有限公司
582,639,全国快递物流单号查询,,快递查询 ,1826487.0,,,20万次≈0.001元/次 50万次≈0.001元/次 100万次≈9.99元/万次 ,199.0,4.0分,28083,同力亿诚
583,640,驾驶证验证及计分查询2,,交通违章 ,3064672.0,,,5000次≈0.16元/次 2万次≈0.12元/次 5万次≈0.10元/次 ,200.0,4.0分,30164,天眼数聚
584,641,短信营销,,短信API ,3064672.0,,,5万次≈0.043元/次 10万次≈0.040元/次 50万次≈0.038元/次 ,200.0,4.0分,27273,深圳市世纪中正科技开发有限公司
585,642,车辆违章查询,,交通违章 ,3064672.0,,,5000次≈0.13元/次 1万次≈0.12元/次 10万次≈0.10元/次 ,280.0,4.0分,26357,上海众调信息科技有限公司
586,643,企业银行卡账户验证,,银行卡核验 ,3064672.0,,,1000次≈1.28元/次 6000次≈1.20元/次 ,260.0,4.0分,23280,联卓数据
587,644,企业基本信息,,企业综合 ,3064672.0,,,70次≈3.00元/次 ,210.0,4.0分,26354,鹏元征信有限公司
588,646,通过淘宝商品编码查询同款商品或相似商品,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,27631,同力亿诚
589,647,淘宝卖家店铺评分DSR信息查询,,电子商务 商品信息 智能风控 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,29218,同力亿诚
590,649,动产抵押信息,,企业综合 经营管理 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,4.0分,23048,京东数科企业信用官方旗舰店
591,650,地图服务货车路径规划,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,31888,北京秀友科技有限公司
592,651,全国停车场位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,22229,北京秀友科技有限公司
593,652,VIN车辆识别代码查询,,车辆信息 ,3398297.0,,,5万次≈0.096元/次 10万次≈0.095元/次 20万次≈0.090元/次 ,980.0,4.0分,23974,极速数据
594,653,拼多多整店商品列表实时查询,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,29176,同力亿诚
595,654,IP地址查询,,app应用 ,1826487.0,,,4万次≈0.009元/次 10万次≈0.007元/次 ,199.0,4.0分,24135,点睛数据
596,655,实时快递物流轨迹跟踪,,快递查询 ,3064672.0,,,1万次≈0.090元/次 2万次≈0.087元/次 ,200.0,4.0分,22166,趣讯科技
597,656,个人失信被执行信息查询,,风控 ,1826487.0,,,2000次≈0.30元/次 1万次≈0.25元/次 ,199.0,4.0分,27075,天眼数聚
598,658,VIN码识别,,智能识别 ,5075889.0,,,1万次≈0.30元/次 5万次≈0.20元/次 10万次≈0.20元/次 ,1500.0,4.0分,26920,翔云人工智能开放平台
599,659,企业纳税人识别号查询,,税务信息 1分钱 ,1826487.0,,,4500次≈0.11元/次 2万次≈0.10元/次 ,199.0,4.0分,27205,浪潮天元数据
600,660,关键字搜索地图POI信息,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,24742,北京秀友科技有限公司
601,661,全国加油加气充电站POI地图数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,26566,北京秀友科技有限公司
602,662,全国旅游景点位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,28158,北京秀友科技有限公司
603,663,行政处罚,,行政监管 企业综合 经营管理 ,3064672.0,,,1000次≈0.30元/次 ,300.0,4.0分,22817,天眼查
604,664,中国商品条码生成,,app应用 ,1292277.0,,,季 半年 年 ,100.0,4.0分,29495,涪擎数据
605,665,企业银行账户核验,,,1292277.0,,,1000次≈1.20元/次 5000次≈1.17元/次 1万次≈1.15元/次 ,130.0,4.0分,21887,深圳云码通科技有限公司
606,666,拼多多商品基本信息批量查询,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,26535,同力亿诚
607,667,空号or沉默号检测,,风控 手机号验证 手机号码状态 ,3398297.0,,,333333次≈0.006元/次 100万次≈0.005元/次 220万次≈0.005元/次 ,500.0,4.0分,23130,apicloud
608,668,通用文字识别,,智能识别 ,3064672.0,,,10万次≈0.005元/次 100万次≈0.005元/次 ,300.0,4.0分,29886,极速数据
609,669,企业负面信息,,企业综合 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,4.0分,22338,京东数科企业信用官方旗舰店
610,670,商标列表查询,,知识产权 ,1826487.0,,,12000次≈0.042元/次 25000次≈0.040元/次 ,199.0,4.0分,24906,浪潮天元数据
611,671,全国青年旅舍位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,24396,北京秀友科技有限公司
612,672,严重违法,,企业工商 司法 ,3064672.0,,,1000次≈0.30元/次 ,300.0,4.0分,28866,天眼查
613,673,专业版法院综合诉讼查询单篇详情,,风控 ,1826487.0,,,5000次≈0.18元/次 1万次≈0.17元/次 10万次≈0.15元/次 ,199.0,4.0分,24753,上海信数金融信息服务有限公司
614,674,IP地址类型真人度2in1,,反欺诈 ,57409581.0,,,20400万次≈0.005元/次 ,494400.0,4.0分,24018,RTBAsia
615,675,企业风险信息汇总概要详情,,企业综合 司法 公告文书 ,3064672.0,,,400次≈0.60元/次 ,240.0,4.0分,30591,鹏元征信有限公司
616,676,京东商品热搜,,电子商务 ,3064672.0,,,季 半年 年 ,200.0,4.0分,25955,涪擎数据
617,677,在线支付信息补单,,,3398297.0,,,5万次≈0.096元/次 10万次≈0.096元/次 ,600.0,4.0分,23734,趣讯科技
618,678,身份核验,,身份核验 ,1292277.0,,,1万次≈0.040元/次 5万次≈0.040元/次 10万次≈0.030元/次 ,50.0,4.0分,26925,apicloud
619,679,全国快递物流信息查询,,快递查询 ,3064672.0,,,20万次≈0.003元/次 50万次≈0.003元/次 100万次≈0.003元/次 ,200.0,4.0分,23284,联卓数据
620,680,OCR二维码条形码识别,,智能识别 ,1826487.0,,,33000次≈0.009元/次 5万次≈0.008元/次 7万次≈0.007元/次 ,199.0,4.0分,24276,同力亿诚
621,681,车辆信息校验,,车辆信息 ,1292277.0,,,4000次≈0.060元/次 1万次≈0.050元/次 10万次≈0.040元/次 ,100.0,4.0分,22744,车圈互联
622,682,企业银行账户验证对公账户验证,,银行卡核验 ,1292277.0,,,1000次≈1.25元/次 5000次≈1.20元/次 ,130.0,4.0分,25288,天眼数聚
623,684,云智信语音通知Api,,短信API ,1826487.0,,,1万次≈0.050元/次 5万次≈0.045元/次 10万次≈0.040元/次 ,199.0,4.0分,25328,云智信短信平台
624,685,车辆VIN码查询,,车辆信息 ,1826487.0,,,4000次≈0.25元/次 3万次≈0.20元/次 5万次≈0.18元/次 ,199.0,4.0分,27462,贵州诚数科技有限公司
625,686,开庭公告信息,,司法 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,4.0分,23208,京东数科企业信用官方旗舰店
626,687,拼多多商品简要信息实时查询,,电子商务 商品信息 ,1826487.0,,,25000次≈0.012元/次 55000次≈0.009元/次 10万次≈0.007元/次 ,199.0,4.0分,28951,同力亿诚
627,688,通过关键词查询搜索淘宝店铺列表,,电子商务 商品信息 ,1826487.0,,,25000次≈0.012元/次 55000次≈0.009元/次 10万次≈0.007元/次 ,199.0,4.0分,22140,同力亿诚
628,689,全国快递查询,,快递查询 ,1826487.0,,,21万次≈0.001元/次 31万次≈0.002元/次 ,199.0,4.0分,10447,佛山零羽网络科技有限公司
629,690,淘宝商品评价详情查询V2,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,23916,同力亿诚
630,691,京东商品详情信息查询V1,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,21167,同力亿诚
631,696,手机号码归属地,,手机号码归属 ,3064672.0,,,80万次≈0.001元/次 160万次≈0.001元/次 ,200.0,4.0分,24703,趣讯科技
632,697,OCR通用文字识别,,1分钱 智能识别 ,3064672.0,,,5万次≈0.028元/次 10万次≈0.023元/次 20万次≈0.020元/次 ,200.0,4.0分,30111,涪擎数据
633,698,银行卡识别,,智能风控 ,3064672.0,,,5万次≈0.024元/次 10万次≈0.021元/次 ,345.0,4.0分,21679,极速数据
634,699,景点信息查询,,位置地图 1分钱 ,3064672.0,,,5万次≈0.010元/次 11万次≈0.009元/次 60万次≈0.008元/次 ,200.0,4.0分,30833,联卓数据
635,700,证件照获取,,app应用 京东E卡 ,18360889.0,,,2000次≈1.20元/次 5000次≈1.00元/次 ,1000.0,4.0分,25109,证件照研究院
636,701,全国公共厕所位置数据,,位置地图 ,1826487.0,,,5000次≈0.20元/次 1万次≈0.19元/次 10万次≈0.17元/次 ,199.0,4.0分,27935,北京大地图科技有限公司
637,702,全国公交站点位置数据,,市内交通 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,25405,北京秀友科技有限公司
638,703,全国宾馆酒店位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,20466,北京秀友科技有限公司
639,704,股东信息,,企业工商 企业综合 ,3064672.0,,,1000次≈0.30元/次 ,300.0,4.0分,23589,天眼查
640,705,超长短信接口,,短信API ,3398297.0,,,15676次≈0.074元/次 27950次≈0.072元/次 129118次≈0.068元/次 ,398.0,4.0分,27941,成都创信信息技术有限公司
641,706,手机在网时长C版,,风控 手机号码状态 ,1826487.0,,,3000次≈0.30元/次 5000次≈0.28元/次 5万次≈0.26元/次 ,199.0,4.0分,20948,贵州诚数科技有限公司
642,707,全国加油站位置数据,,位置地图 ,1826487.0,,,5000次≈0.20元/次 1万次≈0.19元/次 10万次≈0.17元/次 ,199.0,4.0分,23961,北京大地图科技有限公司
643,708,云智信短信验证码Api,,短信API ,1826487.0,,,5万次≈0.045元/次 10万次≈0.040元/次 20万次≈0.035元/次 ,199.0,4.0分,29145,云智信短信平台
644,709,驾驶证识别,,智能风控 ,3398297.0,,,5万次≈0.042元/次 10万次≈0.035元/次 ,529.0,4.0分,25278,极速数据
645,710,工商三要素,,企业工商 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,4.0分,27998,京东数科企业信用官方旗舰店
646,711,地图服务步行路径规划,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,24722,北京秀友科技有限公司
647,712,栅格取图服务,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,23347,北京秀友科技有限公司
648,713,全国商场位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,20886,北京秀友科技有限公司
649,714,地图坐标格式转换服务,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,26895,北京秀友科技有限公司
650,715,静态地图服务,,位置地图 ,1826487.0,,,年 ,199.0,4.0分,24245,北京秀友科技有限公司
651,716,全国医院诊所位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,26374,北京秀友科技有限公司
652,717,公司联系方式查询,,企业综合 ,1292277.0,,,100次≈4.80元/次 ,50.0,4.0分,28876,北京友谱网络科技有限公司
653,718,墨迹天气信息服务基础版cityid,,天气查询 ,1826487.0,,,100万次≈3.89元/万次 5000万次≈3.60元/万次 ,199.0,4.0分,29487,北京墨迹风云科技股份有限公司
654,719,企业知识产权,,知识产权 ,3064672.0,,,100次≈2.00元/次 ,200.0,4.0分,28271,鹏元征信有限公司
655,720,阿里巴巴整店商品查询,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,25755,同力亿诚
656,721,手机号码归属地查询,,手机号码归属 ,1292277.0,,,季 半年 年 ,100.0,4.0分,20738,涪擎数据
657,722,三网运营商手机携号转网归属地实时查询,,,1292277.0,,,5万次≈0.012元/次 10万次≈0.010元/次 30万次≈0.008元/次 ,100.0,4.0分,10470,天眼数聚
658,723,企业工商三要素核验,,企业工商 企业综合 ,3064672.0,,,5000次≈0.090元/次 2万次≈0.080元/次 5万次≈0.070元/次 ,200.0,4.0分,29273,企查查科技有限公司
659,724,通过条形码ISBN查询搜索淘宝商品,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,22008,同力亿诚
660,725,银行卡四要素认证,,银行卡核验 ,3398297.0,,,9000次≈0.22元/次 15000次≈0.20元/次 5万次≈0.17元/次 ,500.0,4.0分,26103,贵州数据宝网络科技有限公司
661,726,全网手机三要素接口,,手机号验证 ,3398297.0,,,5000次≈0.40元/次 1万次≈0.35元/次 15000次≈0.33元/次 ,500.0,4.0分,24516,贵州数据宝网络科技有限公司
662,727,京东整店商品列表查询,,商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,25550,同力亿诚
663,728,企业名称模糊查询,,企业工商 企业综合 ,1292277.0,,,5000次≈0.080元/次 1万次≈0.070元/次 ,50.0,4.0分,28444,上海信数金融信息服务有限公司
664,729,106验证码短信,,短信API ,1644987.0,,,2万次≈0.034元/次 10万次≈0.033元/次 50万次≈0.030元/次 ,189.0,4.0分,23904,飞鸟短信平台
665,730,106营销短信,,短信API ,3064672.0,,,2万次≈0.055元/次 10万次≈0.050元/次 50万次≈0.045元/次 ,299.0,4.0分,21655,飞鸟短信平台
666,731,企业专利信息,,知识产权 ,3064672.0,,,5000次≈0.20元/次 4万次≈0.15元/次 ,200.0,4.0分,25801,京东数科企业信用官方旗舰店
667,732,人脸比对,,智能识别 ,1292277.0,,,1万次≈0.068元/次 2万次≈0.065元/次 10万次≈0.048元/次 ,95.0,4.0分,28367,极速数据
668,733,全国停车场位置数据,,位置地图 ,1826487.0,,,5000次≈0.20元/次 1万次≈0.19元/次 10万次≈0.17元/次 ,199.0,4.0分,25510,北京大地图科技有限公司
669,734,八字排盘,,星座运势 ,3064672.0,,,10万次≈0.005元/次 20万次≈0.005元/次 ,240.0,4.0分,22446,极速数据
670,735,公司模糊搜索,,企业综合 ,1826487.0,,,1万次≈0.050元/次 3万次≈0.030元/次 10万次≈0.010元/次 ,199.0,4.0分,23159,南京火数聚信息技术有限公司
671,736,工商经营异常信息查询接口,,经营管理 ,1826487.0,,,5000次≈0.10元/次 1万次≈0.10元/次 ,199.0,4.0分,28560,浪潮天元数据
672,737,全国度假疗养场馆位置数据,,位置地图 ,1826487.0,,,12万次≈0.016元/次 120万次≈0.016元/次 ,199.0,4.0分,24285,北京秀友科技有限公司
673,738,对外投资,,投融资 经营管理 ,3064672.0,,,1000次≈0.30元/次 ,300.0,4.0分,25931,天眼查
674,739,微信正文数据获取1次100条,,舆情监测 ,1826487.0,,,500次≈0.95元/次 1000次≈0.90元/次 5000次≈0.85元/次 ,199.0,4.0分,28969,北京麦克斯泰科技有限公司
675,740,OCR身份证识别,,身份核验 智能识别 ,1826487.0,,,2万次≈0.030元/次 5万次≈0.024元/次 10万次≈0.022元/次 ,199.0,4.0分,22359,apihome
676,741,上传单张图片至图片空间,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,23182,同力亿诚
677,743,通过关键词查询搜索阿里巴巴商品,,电子商务 商品信息 ,1826487.0,,,25000次≈0.016元/次 5万次≈0.012元/次 10万次≈0.008元/次 ,199.0,4.0分,24663,同力亿诚
678,744,语音短信,,短信API ,3064672.0,,,1万次≈0.035元/次 10万次≈0.033元/次 50万次≈0.030元/次 ,200.0,4.0分,24575,弹指云信
679,746,新西兰国际短信,,短信API ,124973985.0,,,3万次≈0.53元/次 5万次≈0.50元/次 ,6000.0,4.0分,30160,安徽创瑞信息技术有限公司
680,748,OCR行驶证识别,,1分钱 智能风控 ,3064672.0,,,5万次≈0.048元/次 10万次≈0.045元/次 20万次≈0.045元/次 ,200.0,4.0分,22846,涪擎数据
681,749,全国银行位置数据,,位置地图 ,1826487.0,,,5000次≈0.20元/次 1万次≈0.19元/次 10万次≈0.17元/次 ,199.0,4.0分,26578,北京大地图科技有限公司
682,750,全国港口码头位置数据,,位置地图 ,1826487.0,,,5000次≈0.20元/次 1万次≈0.19元/次 10万次≈0.17元/次 ,199.0,4.0分,25090,北京大地图科技有限公司
683,751,条码生成与识别,,商品信息 ,3064672.0,,,60万次≈7.50元/万次 100万次≈7.50元/万次 ,225.0,4.0分,29154,极速数据
684,752,全国省市县行政区划,,位置地图 ,3064672.0,,,100万次≈4.00元/万次 ,200.0,4.0分,23748,极速数据
685,753,企业著作权数据查询,,知识产权 ,1826487.0,,,4500次≈0.11元/次 5万次≈0.10元/次 ,199.0,4.0分,29694,浪潮天元数据
686,754,全球短信验证码,,短信API ,3398297.0,,,7000次≈0.14元/次 ,500.0,4.0分,30774,宁波牛信网络科技有限公司
687,755,行业客户名单,,市场调研 用户画像 ,3398297.0,,,10次≈96.00元/次 100次≈90.00元/次 ,500.0,4.0分,22371,北京友谱网络科技有限公司
688,756,106触发验证码通知短信,,短信API ,3398297.0,,,10万次≈0.038元/次 50万次≈0.035元/次 ,500.0,4.0分,22124,深圳市世纪中正科技开发有限公司
689,757,淘宝热词,,电子商务 ,1529314.0,,,季 半年 年 ,150.0,4.0分,27639,涪擎数据
690,758,中国电子监管码生成,,app应用 ,1292277.0,,,季 半年 年 ,100.0,4.0分,25500,涪擎数据
691,759,人脸身份证比对3要素,,身份核验 ,3064672.0,,,5000次≈0.50元/次 2万次≈0.40元/次 20万次≈0.30元/次 ,300.0,4.0分,10870,北京天天有余科技有限公司
692,760,羊毛党检测,,风控 手机号验证 ,3398297.0,,,125000次≈0.038元/次 286000次≈0.031元/次 625000次≈0.029元/次 ,450.0,4.0分,27158,apicloud
693,761,企业工商事业单位查询特殊企业工商信息查询,,企业工商 ,3064672.0,,,5000次≈0.20元/次 3万次≈0.18元/次 ,230.0,4.0分,28809,天眼数聚
